model,subgroup,status,formula
Sex subgroup,Male,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age_interval + race_group + zcta_svi_proxy + post_cas + las_10 +      cas_10 + las_unavailable + cas_unavailable + strata(listing_center)"
Race subgroup,White,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age_interval + sex + zcta_svi_proxy + post_cas + las_10 +      cas_10 + las_unavailable + cas_unavailable + strata(listing_center)"
Race subgroup,Black,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age_interval + sex + zcta_svi_proxy + post_cas + las_10 +      cas_10 + las_unavailable + cas_unavailable + strata(listing_center)"
Race subgroup,Asian,OK,"Surv(tstart, tstop, tv_adverse_event) ~ no2_interval_10ppb +      age_interval + sex + zcta_svi_proxy + post_cas + las_10 +      cas_10 + las_unavailable + cas_unavailable + strata(listing_center)"
Single pollutant,All,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable + strata(listing_center)"
No center strata,All,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable"
Exclude multi-organ,All,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable + strata(listing_center)"
Adjust multi-organ,All,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age +      sex + race + zcta_svi_proxy + multi_organ_candidate + post_cas +      las_10 + cas_10 + las_unavailable + cas_unavailable + strata(listing_center)"
Age subgroup,<18,Loglik converged before variable  11 ; beta may be infinite. ,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + sex +      race_group + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable + strata(listing_center)"
Age subgroup,18-39,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + sex +      race_group + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable + strata(listing_center)"
Age subgroup,40-59,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + sex +      race_group + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable + strata(listing_center)"
Age subgroup,60+,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + sex +      race_group + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable + strata(listing_center)"
Sex subgroup,Female,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      race_group + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable + strata(listing_center)"
Sex subgroup,Male,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      race_group + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable + strata(listing_center)"
Race subgroup,White,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      sex + zcta_svi_proxy + post_cas + las_10 + cas_10 + las_unavailable +      cas_unavailable + strata(listing_center)"
Race subgroup,Black,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      sex + zcta_svi_proxy + post_cas + las_10 + cas_10 + las_unavailable +      cas_unavailable + strata(listing_center)"
Race subgroup,Asian,OK,"Surv(tstart, tstop, tv_adverse_event) ~ o3_interval_10ppb + age_interval +      sex + zcta_svi_proxy + post_cas + las_10 + cas_10 + las_unavailable +      cas_unavailable + strata(listing_center)"
PM2.5 + NO2,All,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + no2_interval_10ppb +      age + sex + race + zcta_svi_proxy + post_cas + las_10 + cas_10 +      las_unavailable + cas_unavailable + strata(listing_center)"
PM2.5 + NO2 + O3,All,OK,"Surv(tstart, tstop, tv_adverse_event) ~ pm25_interval_5ug + no2_interval_10ppb +      o3_interval_10ppb + age + sex + race + zcta_svi_proxy + post_cas +      las_10 + cas_10 + las_unavailable + cas_unavailable + strata(listing_center)"
