center_code,total_candidates,dominant_organ,n_organs,center_type,optn_region,center_name,city,state,zip,country,lon,lat,location_source
ALAM,172,Kidney,1,TX1,3,University of South Alabama Medical Center,Mobile,AL,36617,USA,-88.09638685513545,30.7176075,zip_zcta
ALCH,429,Kidney,3,TX1,3,Children's of Alabama,Birmingham,AL,35233,USA,-86.81095225549339,33.5065115,zip_zcta
ALUA,14541,Kidney,4,TX1,3,University of Alabama Hospital,Birmingham,AL,35233,USA,-86.81095225549339,33.5065115,zip_zcta
ALVA,238,Kidney,1,TX1,3,Birmingham VA Medical Center,Birmingham,AL,35233,USA,-86.81095225549339,33.5065115,zip_zcta
ARBH,763,Kidney,2,TX1,3,Baptist Medical Center,Little Rock,AR,72205,USA,-92.32887163611142,34.7455015,zip_zcta
ARCH,432,Heart,3,TX1,3,Arkansas Children's Hospital,Little Rock,AR,72202,USA,-92.249355552521,34.734607,zip_zcta
ARUA,3416,Kidney,3,TX1,3,UAMS Medical Center,Little Rock,AR,72205,USA,-92.32887163611142,34.7455015,zip_zcta
AZCH,611,Kidney,3,TX1,5,Phoenix Children's Hospital,Phoenix,AZ,85016,USA,-112.03027223951318,33.510854,zip_zcta
AZGS,5844,Kidney,3,TX1,5,Banner-University Medical Center Phoenix,Phoenix,AZ,85006,USA,-112.04767075512753,33.463873500000005,zip_zcta
AZMC,12176,Kidney,4,TX1,5,Mayo Clinic Hospital Arizona,Phoenix,AZ,85054,USA,-111.9475777903024,33.671897,zip_zcta
AZSJ,2086,Lung,4,TX1,5,St. Joseph's Hospital and Medical Center,Phoenix,AZ,85013,USA,-112.08230283277697,33.508385000000004,zip_zcta
AZUA,3317,Kidney,4,TX1,5,Banner University Medical Center-Tucson,Tucson,AZ,85719,USA,-110.94891798676858,32.2479805,zip_zcta
CACH,388,Kidney,3,TX1,5,Rady Children's Hospital and Health Center,San Diego,CA,92123,USA,-117.13224871300054,32.818476000000004,zip_zcta
CACL,1274,Liver,4,TX1,5,Children's Hospital Los Angeles,Los Angeles,CA,90027,USA,-118.28852825734916,34.127871999999996,zip_zcta
CACS,11984,Kidney,4,TX1,5,Cedars-Sinai Medical Center,Los Angeles,CA,90048,USA,-118.37258354588548,34.0708065,zip_zcta
CAGH,3393,Kidney,2,TX1,5,Scripps Green Hospital,La Jolla,CA,92037,USA,-117.24196672721442,32.8659337966823,zip_zcta
CAIM,3076,Kidney,2,TX1,5,University of California Irvine Medical Center,Orange,CA,92868,USA,-117.87729596838511,33.7883745,zip_zcta
CAKP,399,Kidney,1,TX1,5,Kaiser Permanente-San Francisco Medical Center,San Francisco,CA,94115,USA,-122.43770991609274,37.7862485,zip_zcta
CALA,1373,Kidney,1,TX1,5,Harbor UCLA Medical Center,Torrance,CA,90509,USA,-118.34,33.83,city_state
CALB,73,Kidney,1,TX1,5,St Mary Medical Center,Long Beach,CA,90813,USA,-118.18722420457364,33.779176500000005,zip_zcta
CALL,9368,Kidney,3,TX1,5,Loma Linda University Medical Center,Loma Linda,CA,92354,USA,-117.24604369317981,34.0534375,zip_zcta
CAMB,343,Kidney,3,TX1,5,UCSF Medical Center at Mission Bay,San Francisco,CA,94158,USA,-122.39253268075281,37.773901499999994,zip_zcta
CAMH,60,Kidney,1,TX1,5,Santa Rosa Memorial Hospital,Santa Rosa,CA,95402,USA,-122.7,38.45,city_state
CAPC,1941,Kidney,4,TX1,5,Lucile Salter Packard Children's Hospital at Stanford,Palo Alto,CA,94304,USA,-122.15576197867043,37.3933595,zip_zcta
CAPM,12121,Kidney,3,TX1,5,California Pacific Medical Center-Van Ness Campus,San Francisco,CA,94109,USA,-122.4220428908034,37.794585,zip_zcta
CARC,892,Kidney,2,TX1,5,Riverside Community Hospital,Riverside,CA,92501,USA,-117.37242006275879,33.994343,zip_zcta
CASB,69,Kidney,1,TX1,5,Arrowhead Regional Medical Center,Colton,CA,92324,USA,-117.26728451241942,34.0286985,zip_zcta
CASD,6880,Kidney,4,TX1,5,University of California San Diego Medical Center,La Jolla,CA,92037,USA,-117.24196672721442,32.8659337966823,zip_zcta
CASF,24731,Kidney,4,TX1,5,University of California San Francisco Medical Center,San Francisco,CA,94143,USA,-122.45,37.77,city_state
CASG,805,Kidney,2,TX1,5,Sutter Medical Center Sacramento,Sacramento,CA,95816,USA,-121.46580783530226,38.574493,zip_zcta
CASH,3128,Kidney,2,TX1,5,Sharp Memorial Hospital,San Diego,CA,92123,USA,-117.13224871300054,32.818476000000004,zip_zcta
CASJ,1416,Kidney,1,TX1,5,Saint Joseph Hospital,Orange,CA,92868,USA,-117.87729596838511,33.7883745,zip_zcta
CASM,9403,Kidney,2,TX1,5,University of California Davis Medical Center,Sacramento,CA,95817,USA,-121.45072054308133,38.5519995,zip_zcta
CASU,11799,Kidney,4,TX1,5,Stanford Health Care,Stanford,CA,94305,USA,-122.1721084159768,37.4172885,zip_zcta
CASV,1503,Kidney,3,TX1,5,St. Vincent Medical Center,Los Angeles,CA,90057,USA,-118.27523473658775,34.0623815,zip_zcta
CAUC,21464,Kidney,4,TX1,5,University of California at Los Angeles Medical Center,Los Angeles,CA,90095,USA,-118.44376423203995,34.070403,zip_zcta
CAUH,10292,Kidney,4,TX1,5,Keck Hospital of USC,Los Angeles,CA,90033,USA,-118.21318717965369,34.049943999999996,zip_zcta
CAWM,102,Kidney,1,TX1,5,Western Medical Center,Santa Ana,CA,92705,USA,-117.7954989137695,33.763419999999996,zip_zcta
COCH,954,Kidney,3,TX1,8,Children's Hospital Colorado,Aurora,CO,80045,USA,-104.8379779247519,39.7456035,zip_zcta
COPM,2888,Kidney,2,TX1,8,AdventHealth Porter,Denver,CO,80210,USA,-104.9644722917617,39.676618500000004,zip_zcta
COSL,2468,Kidney,2,TX1,8,Presbyterian/St Luke's Medical Center,Denver,CO,80218,USA,-104.9711885426719,39.7312595,zip_zcta
COUC,9702,Kidney,4,TX1,8,University of Colorado Hospital/Health Science Center,Aurora,CO,80045,USA,-104.8379779247519,39.7456035,zip_zcta
CTHH,3518,Kidney,3,TX1,1,Hartford Hospital,Hartford,CT,06102,USA,-72.68,41.77,city_state
CTYN,6120,Kidney,3,TX1,1,Yale New Haven Hospital,New Haven,CT,06510,USA,-72.92381238263536,41.307567,zip_zcta
DCCH,443,Kidney,2,TX1,2,Children's National Medical Center,Washington,DC,20010,USA,-77.03372789075587,38.9320695,zip_zcta
DCGU,8363,Kidney,2,TX1,2,Medstar Georgetown Transplant Institute,Washington,DC,20007,USA,-77.06181481617337,38.910232,zip_zcta
DCGW,1085,Kidney,2,TX1,2,George Washington University Hospital,Washington,DC,20037,USA,-77.05658763791283,38.890993,zip_zcta
DCHU,80,Kidney,1,TX1,2,Howard University Hospital,Washington,DC,20060,USA,-77.02,38.91,city_state
DCWH,2056,Kidney,2,TX1,2,Washington Hospital Center,Washington,DC,20010,USA,-77.03372789075587,38.9320695,zip_zcta
DCWR,1114,Kidney,1,TX1,2,Walter Reed National Military Medical Center at Bethesda,Bethesda,MD,20889,USA,-77.09026314990737,39.002340000000004,zip_zcta
DEAI,380,Liver,3,TX1,2,Nemours Children's Hospital Delaware,Wilmington,DE,19803,USA,-75.535903797468393,39.799921,zip_zcta
DECC,1423,Kidney,1,TX1,2,Christiana Care Health Services,Newark,DE,19713,USA,-75.7058305254302,39.6742985,zip_zcta
FLAC,179,Heart,2,TX1,3,Johns Hopkins All Children's Hospital,St. Petersburg,FL,33701,USA,-82.63445981260259,27.7721625554913,zip_zcta
FLBC,611,Liver,2,TX1,3,Broward Health Medical Center,Fort Lauderdale,FL,33316,USA,-80.1235592165474,26.0985105,zip_zcta
FLBF,5,Kidney,1,TX1,3,Bert Fish Medical Center,New Smyrna Beach,FL,32168,USA,-81.0577820249006,28.9703695,zip_zcta
FLCC,4302,Kidney,3,TX1,3,Cleveland Clinic Florida Weston,Weston,FL,33331,USA,-80.36986245132981,26.059748499999998,zip_zcta
FLFH,6351,Kidney,4,TX1,3,AdventHealth Orlando,Orlando,FL,32803,USA,-81.34850307069289,28.555873,zip_zcta
FLFR,820,Kidney,1,TX1,3,Gulf Coast Medical Center,Ft Myers,FL,33912,USA,-81.83376661480017,26.5441565,zip_zcta
FLHM,593,Kidney,1,TX1,3,Halifax Health,Daytona Beach,FL,32114,USA,-81.04669901581984,29.1911135,zip_zcta
FLJD,118,Heart,1,TX1,3,Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Hollywood,FL,33021,USA,-80.18773141581457,26.0206535,zip_zcta
FLJM,14072,Kidney,4,TX1,3,Jackson Memorial Hospital University of Miami School of Medicine,Miami,FL,33136,USA,-80.20450081119941,25.7867225,zip_zcta
FLJT,425,Kidney,1,TX1,3,Shands Jacksonville,Jacksonville,FL,32209,USA,-81.69283874120293,30.3611645,zip_zcta
FLLM,1317,Kidney,3,TX1,3,Largo Medical Center,Largo,FL,33770,USA,-82.80949735107748,27.915886,zip_zcta
FLMR,1319,Kidney,2,TX1,3,Memorial Regional Hospital,Hollywood,FL,33021,USA,-80.18773141581457,26.0206535,zip_zcta
FLSH,622,Kidney,1,TX1,3,Ascension Sacred Heart Pensacola,Pensacola,FL,32504,USA,-87.19157803932131,30.4804405,zip_zcta
FLSL,11331,Kidney,4,TX1,3,Mayo Clinic Hospital Florida,Jacksonville,FL,32224,USA,-81.47767791061372,30.2654735,zip_zcta
FLTG,12536,Kidney,4,TX1,3,Tampa General Hospital,Tampa,FL,33606,USA,-82.47838236331356,27.93164018847485,zip_zcta
FLUF,7924,Kidney,4,TX1,3,UF Health Shands Hospital,Gainesville,FL,32610,USA,-82.34335586005983,29.640699,zip_zcta
GAEH,1333,Liver,3,TX1,3,Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,Atlanta,GA,30329,USA,-84.32294021372988,33.827071000000004,zip_zcta
GAEM,15090,Kidney,4,TX1,3,Emory University Hospital,Atlanta,GA,30322,USA,-84.32435191426282,33.796176,zip_zcta
GAMC,4773,Kidney,2,TX1,3,"Wellstar MCG Health, affiliated with Medical College of Georgia",Augusta,GA,30912,USA,-81.98876497041985,33.470898500000004,zip_zcta
GAPH,9997,Kidney,3,TX1,3,Piedmont Hospital,Atlanta,GA,30309,USA,-84.39011283349834,33.797893,zip_zcta
GASJ,109,Heart,1,TX1,3,Saint Joseph's Hospital of Atlanta,Atlanta,GA,30342,USA,-84.37215344668725,33.881624,zip_zcta
IAIM,1412,Kidney,1,TX1,8,Iowa Methodist Medical Center,Des Moines,IA,50309,USA,-93.62086621637116,41.5836865,zip_zcta
IAIV,4104,Kidney,4,TX1,8,University of Iowa Hospitals and Clinics Transplant Programs,Iowa City,IA,52242,USA,-91.54473753744934,41.6620355,zip_zcta
IAMH,555,Kidney,1,TX1,8,MercyOne Des Moines Transplant Center,Des Moines,IA,50314,USA,-93.62768444403602,41.60393,zip_zcta
IAVA,948,Kidney,1,TX1,8,The Iowa City VA Health Care System,Iowa City,IA,52246,USA,-91.60399910262069,41.645953000000006,zip_zcta
ILCH,1475,Kidney,3,TX1,7,Advocate Christ Medical Center,Oak Lawn,IL,60453,USA,-87.74415357782576,41.709002999999996,zip_zcta
ILCM,1234,Kidney,3,TX1,7,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,IL,60611,USA,-87.62184421291425,41.8953747518722,zip_zcta
ILLU,6642,Kidney,4,TX1,7,Loyola University Medical Center,Maywood,IL,60153,USA,-87.84378726274807,41.8810675,zip_zcta
ILMM,1060,Kidney,1,TX1,7,Springfield Memorial Hospital,Springfield,IL,62781,USA,-89.64,39.78,city_state
ILNM,11723,Kidney,4,TX1,7,Northwestern Memorial Hospital,Chicago,IL,60611,USA,-87.62184421291425,41.8953747518722,zip_zcta
ILPL,4741,Kidney,3,TX1,7,Rush University Medical Center,Chicago,IL,60612,USA,-87.68648205914079,41.880885,zip_zcta
ILSF,1895,Kidney,2,TX1,7,OSF Saint Francis Medical Center,Peoria,IL,61637,USA,-89.61,40.74,city_state
ILUC,5497,Kidney,4,TX1,7,University of Chicago Medical Center,Chicago,IL,60637,USA,-87.60027391069528,41.782363000000004,zip_zcta
ILUI,5656,Kidney,2,TX1,7,University of Illinois Medical Center,Chicago,IL,60612,USA,-87.68648205914079,41.880885,zip_zcta
ILVA,587,Kidney,1,TX1,7,Edward Hines Jr. Veterans Administration Medical Center,Hines,IL,60141,USA,-87.8381976110755,41.860814500000004,zip_zcta
INIM,11405,Kidney,4,TX1,10,Indiana University Health,Indianapolis,IN,46202,USA,-86.17524662399525,39.780335,zip_zcta
INLH,875,Kidney,2,TX1,10,Lutheran Hospital of Fort Wayne,Fort Wayne,IN,46804,USA,-85.23703860380802,41.0539375,zip_zcta
INSV,2607,Kidney,2,TX1,10,Ascension St. Vincent Hospital,Indianapolis,IN,46260,USA,-86.17977040374686,39.8939315,zip_zcta
KSFW,324,Kidney,2,TX1,8,"Via Christi Hospitals Wichita, Inc.",Wichita,KS,67214,USA,-97.31870194208574,37.707759,zip_zcta
KSUK,5884,Kidney,3,TX1,8,University of Kansas Hospital,Kansas City,KS,66160,USA,-94.60956748537362,39.05636022641145,zip_zcta
KYJH,3970,Kidney,4,TX1,11,Jewish Hospital,Louisville,KY,40202,USA,-85.74976488955842,38.252613499999995,zip_zcta
KYKC,139,Heart,2,TX1,11,Norton Children's Hospital,Louisville,KY,40202,USA,-85.74976488955842,38.252613499999995,zip_zcta
KYUK,6156,Kidney,4,TX1,11,University of Kentucky Medical Center,Lexington,KY,40536,USA,-84.50785551881332,38.029042,zip_zcta
LACH,201,Kidney,2,TX1,3,Children's Hospital,New Orleans,LA,70118,USA,-90.12666882601852,29.944963,zip_zcta
LAMC,162,Kidney,1,TX1,3,University Medical Center,Lafayette,LA,70506,USA,-92.08516401620872,30.191679,zip_zcta
LAOF,10401,Kidney,4,TX1,3,Ochsner Foundation Hospital,New Orleans,LA,70121,USA,-90.15848044367557,29.957620499999997,zip_zcta
LASB,1,Liver,1,TX1,3,Lindy Boggs Medical Center,New Orleans,LA,70119,USA,-90.09165069440479,29.9730635,zip_zcta
LATU,4385,Kidney,3,TX1,3,Tulane Medical Center,Metairie,LA,70006,USA,-90.19147653482338,30.014565,zip_zcta
LAWK,2140,Kidney,3,TX1,3,Willis-Knighton Medical Center,Shreveport,LA,71103,USA,-93.76822416577684,32.4918585,zip_zcta
MABI,3462,Kidney,3,TX1,1,Beth Israel Deaconess Medical Center,Boston,MA,02215,USA,-71.09853393356835,42.3450585,zip_zcta
MABS,1008,Kidney,1,TX1,1,Baystate Medical Center,Springfield,MA,01199,USA,-72.54,42.12,city_state
MABU,1359,Kidney,1,TX1,1,Boston Medical Center,Boston,MA,02118,USA,-71.0711747446289,42.3367115,zip_zcta
MACH,1217,Kidney,4,TX1,1,Boston Children's Hospital,Boston,MA,02115,USA,-71.08777902719528,42.341844,zip_zcta
MAMG,8603,Kidney,4,TX1,1,Massachusetts General Hospital,Boston,MA,02114,USA,-71.06560941295137,42.362652,zip_zcta
MANM,2279,Kidney,3,TX1,1,Tufts Medical Center,Boston,MA,02111,USA,-71.05988265669612,42.350496500000006,zip_zcta
MAPB,3642,Kidney,3,TX1,1,Brigham and Women's Hospital,Boston,MA,02115,USA,-71.08777902719528,42.341844,zip_zcta
MAUM,3781,Liver,2,TX1,1,UMass Memorial Medical Center,Worcester,MA,01655,USA,-71.81,42.27,city_state
MDJH,11515,Kidney,4,TX1,2,Johns Hopkins Hospital,Baltimore,MD,21287,USA,-76.58810741850829,39.299172999999996,zip_zcta
MDNI,45,Kidney,1,TX1,2,Warren Grant Magnuson Clinical Center/National Institutes of Health,Bethesda,MD,20892,USA,-77.10374323602271,39.000608,zip_zcta
MDUM,11201,Kidney,4,TX1,2,University of Maryland Medical System,Baltimore,MD,21201,USA,-76.62384513023139,39.295390499999996,zip_zcta
MEMC,1276,Kidney,1,TX1,1,Maine Medical Center,Portland,ME,04102,USA,-70.30849724941392,43.662769,zip_zcta
MIBH,2997,Kidney,2,TX1,10,Corewell Health William Beaumont University Hospital,Royal Oak,MI,48073,USA,-83.16489525902179,42.5227595,zip_zcta
MICH,306,Kidney,3,TX1,10,Children's Hospital of Michigan,Detroit,MI,48201,USA,-83.05953240479478,42.347187500000004,zip_zcta
MIDV,89,Kidney,1,TX1,10,Corewell Health Helen DeVos Children's Hospital,Grand Rapids,MI,49503,USA,-85.66837024923885,42.95302,zip_zcta
MIHF,7372,Kidney,4,TX1,10,Henry Ford Hospital,Detroit,MI,48202,USA,-83.07831957950376,42.375068999999996,zip_zcta
MIHH,957,Kidney,1,TX1,10,Harper University Hospital Detroit Medical Center,Detroit,MI,48201,USA,-83.05953240479478,42.347187500000004,zip_zcta
MIHM,83,Kidney,1,TX1,10,Hurley Medical Center,Flint,MI,48503,USA,-83.65756978427669,43.0119655,zip_zcta
MISH,766,Lung,2,TX1,10,Corewell Health Grand Rapids Hospitals,Grand Rapids,MI,49503,USA,-85.66837024923885,42.95302,zip_zcta
MISJ,1528,Kidney,1,TX1,10,Ascension St. John Hospital,Detroit,MI,48236,USA,-82.89856107135151,42.4224495,zip_zcta
MISM,2578,Kidney,1,TX1,10,Mercy Health Saint Mary's,Grand Rapids,MI,49503,USA,-85.66837024923885,42.95302,zip_zcta
MIUM,11031,Kidney,4,TX1,10,University of Michigan Medical Center,Ann Arbor,MI,48109,USA,-83.74537796271892,42.266654,zip_zcta
MNAC,87,Kidney,3,TX1,7,Univ of MN Amplatz Children's Hosp,Minneapolis,MN,55454,USA,-93.24636642111932,44.9726845,zip_zcta
MNAN,1304,Kidney,2,TX1,7,Abbott Northwestern Hospital,Minneapolis,MN,55407,USA,-93.25269969448757,44.9350385,zip_zcta
